Дмитрий,23,мужской,Высшая математика=5, Программирование на Java=5, Русский=5
Ольга,18,женский,Высшая математика=5, Программирование на Java=3, Русский=5
Анастасия,24,женский,Высшая математика=5, Программирование на Java=3, Русский=5
Светлана,23,женский,Высшая математика=3, Программирование на Java=3, Русский=3
Иван,23,мужской,Высшая математика=5, Программирование на Java=4, Русский=4
Мария,20,женский,Высшая математика=3, Программирование на Java=4, Русский=4
Павел,18,мужской,Высшая математика=4, Программирование на Java=5, Русский=4
Иван,21,мужской,Высшая математика=3, Программирование на Java=3, Русский=4
Ольга,22,женский,Высшая математика=5, Программирование на Java=4, Русский=4
Анастасия,22,женский,Высшая математика=5, Программирование на Java=3, Русский=3
Павел,22,мужской,Высшая математика=3, Программирование на Java=3, Русский=3
Светлана,23,женский,Высшая математика=5, Программирование на Java=5, Русский=4
Алексей,25,мужской,Высшая математика=5, Программирование на Java=5, Русский=5
Павел,18,мужской,Высшая математика=3, Программирование на Java=4, Русский=4
Анастасия,25,женский,Высшая математика=3, Программирование на Java=3, Русский=5
Евгений,22,мужской,Высшая математика=4, Программирование на Java=3, Русский=4
Мария,18,женский,Высшая математика=5, Программирование на Java=5, Русский=3
Иван,18,мужской,Высшая математика=3, Программирование на Java=4, Русский=3
Дмитрий,25,мужской,Высшая математика=4, Программирование на Java=3, Русский=3
Мария,23,женский,Высшая математика=4, Программирование на Java=4, Русский=4
